Sl_no,User_name,Name,Room_name,Location,Check_in,Check_out,Rent,Type,,
1,jtumilsonmk@usgs.gov,Blue Heaven,Queen Room,Ooty,28-12-2023,29-12-2023,1500,house,,
2,ldionsetto48@unc.edu,Cozy Cabin,Budget Room,Coorg,27-12-2023,29-12-2023,1800,apartment,,
3,fsephtondv@purevolume.com,Blue Heaven,Budget Room,Ooty,27-12-2023,05-01-2024,8100,house,,0
4,lloweypp@ebay.co.uk,I-ONES,Budget Room,Fort Kochi,27-12-2023,28-12-2023,900,house,,
5,omartire@nhs.uk,Cozy Cabin,Standard Room,Coorg,27-12-2023,28-12-2023,1300,apartment,,
6,wwyldborerj@google.it,Cozy Cabin,Budget Room,Coorg,27-12-2023,29-12-2023,1800,apartment,,
7,bbrunsdonme@myspace.com,Blue Heaven,Budget Room,Ooty,24-12-2023,26-12-2023,1800,house,,
8,labrahamoff2d@gnu.org,I-ONES,Budget Room,Fort Kochi,23-12-2023,25-12-2023,1800,house,,
9,ningilson2u@squidoo.com,I-ONES,Standard Room,Fort Kochi,22-12-2023,27-12-2023,6500,house,,
10,sbassomh3@stanford.edu,Cozy Cabin,Budget Room,Coorg,22-12-2023,25-12-2023,2700,apartment,,
11,hbreinleinkc@pagesperso-orange.fr,Blue Heaven,Budget Room,Ooty,22-12-2023,23-12-2023,900,house,,
12,lgunneren@va.gov,I-ONES,Budget Room,Fort Kochi,21-12-2023,25-12-2023,3600,house,,
13,landrivellj@bing.com,Ivy Cottage,Budget Room,Trivandrum,21-12-2023,30-12-2023,8100,apartment,,
14,mgraylandg3@surveymonkey.com,Cozy Cabin,Budget Room,Coorg,20-12-2023,30-12-2023,9000,apartment,,
15,dsneaker4n@chron.com,I-ONES,Queen Room,Fort Kochi,19-12-2023,22-12-2023,4500,house,,
16,speyntuebi@t.co,I-ONES,Budget Room,Fort Kochi,19-12-2023,28-12-2023,8100,house,,
17,nreochhf@homestead.com,Blue Heaven,Budget Room,Ooty,19-12-2023,26-12-2023,6300,house,,
18,dgheorghescu7@eepurl.com,Blue Heaven,Standard Room,Ooty,18-12-2023,22-12-2023,5200,house,,
